DEPT,TWT,seismicamplitude,AI_Jason_inv,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase
1615.642,1176.444,502.162,,8383.5,1.4274,-119.3,-849.6,-44.8,1230.9,35.5,-64.4772,0.3666
1615.794,1176.537,517.440,,8362.9,1.4206,-116.5,-836.3,-47.4,1223.1,35.5,-63.3692,0.3822
1615.946,1176.629,532.715,,8332.0,1.4138,-113.7,-823.0,-50.1,1215.3,35.5,-62.2613,0.3978
1616.099,1176.722,547.988,,8326.7,1.4070,-110.8,-809.7,-52.7,1207.5,35.5,-61.1532,0.4134
1616.251,1176.814,563.266,,8341.2,1.4002,-108.0,-796.4,-55.4,1199.8,35.4,-60.0448,0.4290
1616.404,1176.907,578.544,,8359.1,1.3934,-105.2,-783.0,-58.0,1192.0,35.4,-58.9361,0.4446
1616.556,1176.999,593.087,,8364.3,1.3866,-102.3,-769.7,-60.7,1184.2,35.4,-57.8272,0.4601
1616.708,1177.092,604.428,,8311.6,1.3815,-99.6,-756.2,-54.8,1171.8,35.4,-56.8443,0.4706
1616.861,1177.184,614.986,,8228.6,1.3765,-96.9,-742.7,-48.9,1159.3,35.5,-55.8625,0.4809
1617.013,1177.277,625.538,,8131.5,1.3715,-94.1,-729.2,-43.0,1146.8,35.5,-54.8812,0.4913
1617.166,1177.369,636.079,,8037.8,1.3664,-91.4,-715.7,-37.1,1134.4,35.5,-53.9002,0.5017
1617.318,1177.462,646.615,,7947.0,1.3614,-88.7,-702.3,-31.1,1121.9,35.6,-52.9194,0.5120
1617.470,1177.554,657.151,,7864.8,1.3564,-85.9,-688.8,-25.2,1109.4,35.6,-51.9384,0.5224
1617.623,1177.646,667.689,,7813.8,1.3513,-83.2,-675.3,-19.3,1096.9,35.7,-50.9570,0.5328
1617.775,1177.739,678.226,,7786.0,1.3463,-80.5,-661.7,-13.3,1084.5,35.7,-49.9755,0.5431
1617.928,1177.832,688.759,,7789.2,1.3412,-77.7,-648.2,-7.4,1072.0,35.7,-48.9939,0.5535
1618.080,1177.924,699.290,,7754.6,1.3362,-75.0,-634.7,-1.5,1059.5,35.8,-48.0123,0.5638
1618.232,1178.016,709.821,,7689.9,1.3311,-72.3,-621.2,4.4,1047.0,35.8,-47.0303,0.5742
1618.385,1178.109,720.351,,7602.3,1.3261,-69.6,-607.7,10.4,1034.5,35.9,-46.0484,0.5845
1618.537,1178.201,730.875,,7524.0,1.3211,-66.8,-594.1,16.3,1022.1,35.9,-45.0667,0.5949
1618.690,1178.294,741.391,,7454.3,1.3160,-64.1,-580.6,22.2,1009.6,36.0,-44.0854,0.6052
1618.842,1178.386,751.893,,7385.3,1.3109,-61.4,-567.1,28.1,997.1,36.0,-43.1044,0.6156
1618.994,1178.479,762.388,,7310.0,1.3059,-58.6,-553.5,34.0,984.6,36.0,-42.1235,0.6259
1619.147,1178.571,772.885,,7242.6,1.3008,-55.9,-540.0,40.0,972.1,36.1,-41.1422,0.6363
1619.299,1178.664,783.385,,7192.4,1.2958,-53.2,-526.4,45.9,959.6,36.1,-40.1605,0.6466
1619.452,1178.756,793.894,,7148.5,1.2907,-50.5,-512.9,51.8,947.1,36.2,-39.1784,0.6569
1619.604,1178.849,804.407,,7116.5,1.2857,-47.7,-499.3,57.7,934.6,36.2,-38.1959,0.6673
1619.756,1178.941,814.924,,7094.0,1.2806,-45.0,-485.7,63.6,922.1,36.2,-37.2134,0.6776
1619.909,1179.034,824.706,,7084.2,1.2773,-46.6,-469.8,67.9,912.3,36.3,-36.1070,0.6871
1620.061,1179.126,833.210,,7090.8,1.2769,-55.6,-449.9,69.4,907.1,36.4,-34.7853,0.6950
1620.214,1179.219,841.712,,7108.0,1.2765,-64.6,-430.0,70.8,902.0,36.5,-33.4635,0.7029
1620.366,1179.311,850.216,,7118.1,1.2761,-73.6,-410.1,72.2,896.8,36.6,-32.1412,0.7108
1620.518,1179.404,858.719,,7125.0,1.2757,-82.6,-390.2,73.7,891.7,36.7,-30.8186,0.7188
1620.671,1179.496,867.211,,7139.8,1.2754,-91.6,-370.2,75.1,886.6,36.8,-29.4963,0.7267
