DEPT,TWT,amp,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase,AI_Jason_inv
1605.7,1170.4,-996.1,9079,1.56,134.2,-883.3,291,889.2,43.4,-141.8311,-0.735,
1605.9,1170.5,-969,9183,1.56,114,-909.8,289,907.4,43.2,-140.3559,-0.7216,
1606,1170.6,-941.8,9216,1.55,93.7,-936.4,286.9,925.6,43,-138.8805,-0.7083,
1606.2,1170.7,-914.6,9053,1.55,73.4,-962.9,284.9,943.7,42.8,-137.4048,-0.6949,
1606.3,1170.8,-887.3,8901,1.55,53.1,-989.5,282.8,961.9,42.6,-135.9291,-0.6816,
1606.5,1170.9,-860.1,8879,1.55,32.8,-1016,280.8,980.1,42.4,-134.4534,-0.6682,
1606.7,1171,-832.9,8787,1.55,12.5,-1042.6,278.7,998.2,42.2,-132.9779,-0.6548,
1606.8,1171.1,-805.3,8624,1.55,5.1,-1051.1,270.8,1010.5,42,-131.7457,-0.6378,
1607,1171.2,-777.6,8547,1.55,-0.3,-1056.9,261.9,1021.8,41.8,-130.5504,-0.6202,
1607.1,1171.3,-749.9,8682,1.55,-5.8,-1062.7,253,1033.2,41.6,-129.3551,-0.6026,
1607.3,1171.4,-722.3,8789,1.56,-11.2,-1068.4,244.1,1044.5,41.4,-128.1597,-0.585,
1607.4,1171.5,-694.6,8847,1.56,-16.7,-1074.2,235.2,1055.9,41.3,-126.9642,-0.5675,
1607.6,1171.5,-666.9,8911,1.56,-22.2,-1080,226.3,1067.2,41.1,-125.7684,-0.5499,
1607.7,1171.6,-639.1,8943,1.56,-27.6,-1085.8,217.4,1078.6,40.9,-124.5725,-0.5323,
1607.9,1171.7,-611.4,8933,1.57,-33.1,-1091.6,208.5,1089.9,40.7,-123.3765,-0.5147,
1608,1171.8,-583.7,8918,1.57,-38.6,-1097.3,199.6,1101.3,40.6,-122.1805,-0.4971,
1608.2,1171.9,-556,8928,1.57,-44.1,-1103.1,190.7,1112.6,40.4,-120.9843,-0.4795,
1608.3,1172,-528.2,9105,1.57,-49.5,-1108.9,181.8,1124,40.2,-119.7882,-0.4619,
1608.5,1172.1,-500.5,9292,1.58,-55,-1114.7,172.9,1135.3,40,-118.5922,-0.4443,
1608.6,1172.2,-472.8,9484,1.58,-60.5,-1120.4,164,1146.7,39.8,-117.3962,-0.4267,
1608.8,1172.3,-445,9434,1.58,-66,-1126.2,155.1,1158.1,39.7,-116.2002,-0.4091,
1608.9,1172.4,-417.3,9308,1.59,-71.5,-1131.9,146.2,1169.4,39.5,-115.0041,-0.3915,
1609.1,1172.5,-389.5,9179,1.59,-77,-1137.7,137.3,1180.8,39.3,-113.8083,-0.3739,
1609.2,1172.6,-361.8,9129,1.59,-82.4,-1143.4,128.4,1192.1,39.1,-112.6128,-0.3563,
1609.4,1172.7,-334,9105,1.59,-87.9,-1149.2,119.5,1203.5,38.9,-111.4175,-0.3387,
1609.5,1172.7,-306.3,8971,1.6,-93.4,-1154.9,110.6,1214.8,38.8,-110.2219,-0.3211,
1609.7,1172.8,-278.5,8767,1.6,-98.9,-1160.7,101.8,1226.2,38.6,-109.0257,-0.3035,
1609.9,1172.9,-250.7,8628,1.6,-104.4,-1166.4,92.9,1237.5,38.4,-107.8289,-0.2859,
1610,1173,-224.1,8510,1.6,-109.2,-1169.5,85.1,1247.3,38.2,-106.6405,-0.2681,
1610.2,1173.1,-201.4,8388,1.6,-111.7,-1164.3,81,1252.3,38.1,-105.4783,-0.2498,
1610.3,1173.2,-178.6,8315,1.6,-114.2,-1159.1,76.9,1257.2,38,-104.3165,-0.2315,
1610.5,1173.3,-155.8,8320,1.59,-116.7,-1153.9,72.8,1262.1,37.9,-103.1548,-0.2133,
1610.6,1173.4,-133.1,8433,1.59,-119.2,-1148.6,68.6,1267,37.8,-101.9932,-0.195,
1610.8,1173.5,-110.3,8532,1.59,-121.7,-1143.4,64.5,1271.9,37.7,-100.8315,-0.1767,
1610.9,1173.6,-87.5,8562,1.58,-124.2,-1138.2,60.4,1276.8,37.6,-99.6695,-0.1584,
1611.1,1173.7,-64.7,8583,1.58,-126.7,-1132.9,56.2,1281.7,37.5,-98.5076,-0.1401,
1611.2,1173.8,-42,8550,1.58,-129.2,-1127.6,52.1,1286.6,37.4,-97.3458,-0.1219,
1611.4,1173.9,-19.2,8487,1.57,-131.7,-1122.4,47.9,1291.5,37.3,-96.1839,-0.1036,
1611.5,1173.9,3.6,8397,1.57,-134.3,-1117.1,43.8,1296.4,37.2,-95.0218,-0.0853,
1611.7,1174,26.4,8317,1.57,-136.8,-1111.9,39.7,1301.3,37.1,-93.8597,-0.067,
1611.8,1174.1,49.2,8248,1.56,-139.3,-1106.6,35.5,1306.2,37,-92.6976,-0.0487,
1612,1174.2,72,8187,1.56,-141.8,-1101.3,31.4,1311.1,36.9,-91.5357,-0.0305,
1612.1,1174.3,94.8,8137,1.56,-144.4,-1096,27.2,1316,36.7,-90.3737,-0.0122,
1612.3,1174.4,117.6,8096,1.55,-146.9,-1090.8,23.1,1320.9,36.6,-89.2118,0.0061,
1612.4,1174.5,140.4,8061,1.55,-149.4,-1085.5,18.9,1325.8,36.5,-88.0497,0.0244,
1612.6,1174.6,163.2,8078,1.55,-152,-1080.2,14.8,1330.7,36.4,-86.8875,0.0427,
1612.7,1174.7,186,8174,1.54,-154.5,-1074.9,10.6,1335.6,36.3,-85.7249,0.0609,
1612.9,1174.8,208.9,8382,1.54,-157.1,-1069.6,6.4,1340.5,36.2,-84.5618,0.0792,
